Month,Day,Hour,Temperature,Raw Kw Load,Generated Power Units,Generated Kw ,Excess Generation (Adjusted),Load Unserved (Adjusted),Excess Generation (Raw),Load Unserved (Raw)
10,1,100,25.374,0,0,0,0,4664.540822,0,0
10,1,200,24.892,0,0,0,0,4714.92196,0,0
10,1,300,25.349,0,0,0,0,4667.153952,0,0
10,1,400,26.103,0,0.007179487,112,0,4476.341964,112,0
10,1,500,25.439,0,0.032820513,512,0,4145.746685,512,0
10,1,600,24.557,0,0.025641026,400,0,4349.937897,400,0
10,1,700,20.73,0,0.025641026,400,0,4749.955772,400,0
10,1,800,25.817,0,0.025641026,400,0,4218.236166,400,0
10,1,900,33.154,0,0.025641026,400,0,3451.334897,400,0
10,1,1000,38.705,0,0.023076923,360,0,2911.115606,360,0
10,1,1100,42.305,0,0.000512821,8,0,2886.824947,8,0
10,1,1200,44.978,0,0.002051282,32,0,2583.429132,32,0
10,1,1300,46.886,0,0,0,0,2415.995083,0,0
10,1,1400,47.93,0,0,0,0,2306.870792,0,0
10,1,1500,50.63,0,0,0,0,2024.652797,0,0
10,1,1600,51.044,0,0,0,0,1981.379371,0,0
10,1,1700,50.882,0,0,0,0,1998.312451,0,0
10,1,1800,48.2,0,0,0,0,2278.648992,0,0
10,1,1900,39.135,0,0,0,0,3226.169777,0,0
10,1,2000,34.765,0,0,0,0,3682.944827,0,0
10,1,2100,33.791,0,0,0,0,3784.752356,0,0
10,1,2200,32.731,0,0,0,0,3895.54905,0,0
10,1,2300,30.677,0,0,0,0,4110.243776,0,0
10,1,2400,29.833,0,0,0,0,4198.463031,0,0
10,2,100,27.453,0,0,0,0,4447.232966,0,0
10,2,200,25.462,0,,0,0,3863.342606,0,0
10,2,300,26.379,0,0.26974359,4208,0,351.493013,4208,0
10,2,400,25.61,0,0.284102564,4432,0,207.8728788,4432,0
10,2,500,29.115,0,0.317435897,4952,0,0,4952,0
10,2,600,32.652,0,0.331794872,5176,0,0,5176,0
10,2,700,31.876,0,0.257948718,4024,0,0,4024,0
10,2,800,33.372,0,0.260512821,4064,0,2086.485439,4064,0
10,2,900,36.561,0,0.266666667,4160,0,3163.766006,4160,0
10,2,1000,41.657,0,0.321538462,5016,0,1441.774864,5016,0
10,2,1100,47.498,0,0.323076923,5040,0,274.5829359,5040,0
10,2,1200,53.51,0,0.323076923,5040,0,0,5040,0
10,2,1300,58.568,0,0.323076923,5040,0,0,5040,0
10,2,1400,63.644,0,0.323076923,5040,0,0,5040,0
10,2,1500,65.498,0,0.323076923,5040,0,0,5040,0
10,2,1600,67.748,0,0.323076923,5040,0,0,5040,0
10,2,1700,67.712,0,0.323076923,5040,0,0,5040,0
10,2,1800,65.21,0,0.323076923,5040,0,0,5040,0
10,2,1900,58.334,0,0.286153846,4464,0,0,4464,0
10,2,2000,54.158,0,0.266666667,4160,0,0,4160,0
10,2,2100,49.694,0,0.266666667,4160,0,0,4160,0
10,2,2200,52.214,0,0.214871795,3352,0,0,3352,0
10,2,2300,54.896,0,0.26,4056,0,0,4056,0
10,2,2400,55.364,0,0.465641026,7264,0,0,7264,0
10,3,100,56.642,0,0.431282051,6728,0,0,6728,0
